EmpID,BiasInfluentialFactor,FitmentPercent
9811,YearsOfExperince,27.68
15768,NA,0.04
22504,NA,0.04
23829,NA,0.06
5862,NA,0.05
18002,CurrentCompanyType,0.05
20096,DegreeBranch,19.4
12475,YearsOfExperince,8.7
9493,EmpScore,28.41
20509,Gender,22.93
22581,Gender,13.67
8640,DegreeBranch,16.42
6522,NA,0.04
5242,Gender,0.94
20048,HighestDegree,35.4
20073,NA,0.05
5285,Gender,20.03
18789,DegreeBranch,19.37
23144,DegreeBranch,21.54
23485,DegreeBranch,13.35
10866,Gender,23.83
17398,Gender,10.72
2180,DegreeBranch,19.63
14471,NA,0.06
2066,Gender,12.4
12579,NA,0.05
6936,Gender,18.76
18594,NA,0.06
3087,DegreeBranch,6.61
15260,CurrentCompanyType,0.68
4048,DegreeBranch,23.25
22616,YearsOfExperince,10.01
5932,YearsOfExperince,28.92
18305,DegreeBranch,19.39
2871,NA,0.05
14604,YearsOfExperince,9.38
8827,NA,0.04
20293,EmpScore,33.52
16020,Gender,15.56
17011,NA,0.04
9242,Gender,15.99
4523,Gender,19.43
22499,Gender,3.44
5077,Gender,5.61
4954,DegreeBranch,0.05
21377,NA,0.05
6593,Gender,17.21
6462,YearsOfExperince,22.57
7336,NA,0.05
10574,Gender,12.44
14692,EmpScore,36.21
8824,DegreeBranch,17.28
16028,NA,0.04
13805,NA,0.06
3520,EmpScore,33.11
18923,NA,0.05
14292,DegreeBranch,15.3
7104,DegreeBranch,17.0
2980,NA,0.06
2025,DegreeBranch,20.72
9002,NA,0.05
3126,NA,0.05
5586,NA,0.06
3420,Gender,20.48
9545,DegreeBranch,15.37
20939,Gender,22.64
20236,DegreeBranch,15.14
3975,Gender,10.02
6951,DegreeBranch,27.01
16678,YearsOfExperince,22.2
11510,Gender,16.27
11968,NA,0.05
23118,DegreeBranch,20.62
9138,DegreeBranch,22.08
18374,MartialStatus,47.77
4364,YearsOfExperince,9.71
23261,MartialStatus,48.29
16502,Gender,16.12
15432,DegreeBranch,15.88
17025,DegreeBranch,20.19
17086,YearsOfExperince,23.71
18716,DegreeBranch,19.25
23594,CurrentCompanyType,4.41
6890,Gender,18.32
6986,DegreeBranch,20.28
5028,EmpScore,32.33
7108,NA,0.05
5003,YearsOfExperince,19.01
4183,DegreeBranch,21.64
17274,NA,0.05
6789,Gender,0.04
6922,Gender,15.75
14734,NA,0.05
7747,NA,0.05
21269,MartialStatus,49.38
9271,NA,0.05
7857,NA,0.06
16227,HighestDegree,43.0
3750,NA,0.06
17102,Gender,14.06
13917,NA,0.05
17326,Gender,20.68
7123,EmpScore,27.64
6845,DegreeBranch,19.15
4321,DegreeBranch,18.83
22731,NA,0.05
9059,DegreeBranch,22.05
5210,DegreeBranch,14.92
16631,Gender,24.44
7469,Gender,24.12
13953,EmpScore,31.99
21029,DegreeBranch,17.65
10297,DegreeBranch,19.12
10108,NA,0.05
3879,Gender,22.5
14547,YearsOfExperince,22.01
11596,DegreeBranch,24.9
9570,DegreeBranch,21.39
9877,NA,0.06
19664,Ethinicity,164.12
5796,HighestDegree,45.6
16075,HighestDegree,43.3
7320,Gender,9.27
20058,Gender,4.04
23765,NA,0.05
11094,YearsOfExperince,20.09
17782,Gender,5.05
5126,DegreeBranch,19.91
20169,YearsOfExperince,33.96
15337,NA,0.05
4214,YearsOfExperince,23.2
6015,Gender,0.06
14271,DegreeBranch,19.5
14365,NA,0.05
10020,NA,0.05
15023,Gender,19.73
18494,HighestDegree,43.27
4837,EmpScore,34.19
18511,NA,0.05
17336,Gender,15.35
23796,YearsOfExperince,25.39
22860,DegreeBranch,14.52
19964,DegreeBranch,18.96
9857,EmpScore,31.28
11394,Gender,16.14
14028,DegreeBranch,17.24
13534,YearsOfExperince,13.77
15702,DegreeBranch,19.85
12077,NA,0.06
9886,HighestDegree,38.46
18755,DegreeBranch,20.41
10716,NA,0.05
21221,Gender,15.79
5498,MartialStatus,45.73
18012,DegreeBranch,18.49
20584,Gender,16.98
9003,Gender,0.04
21596,DegreeBranch,27.97
24303,EmpScore,33.01
23210,DegreeBranch,12.33
3705,Gender,11.85
9904,YearsOfExperince,6.85
16622,Gender,11.13
23621,HighestDegree,23.29
7026,DegreeBranch,16.1
7122,DegreeBranch,22.51
24383,EmpScore,35.45
7145,EmpScore,29.51
19615,NA,0.05
15154,NA,0.05
7593,YearsOfExperince,26.96
11840,MartialStatus,49.19
22258,NA,0.05
3066,DegreeBranch,0.05
4941,Gender,18.09
7291,HighestDegree,37.31
6512,Gender,7.85
18262,NA,0.06
6807,YearsOfExperince,29.93
3571,Gender,21.9
13400,YearsOfExperince,27.45
4926,DegreeBranch,17.86
20809,Gender,16.78
10431,DegreeBranch,21.01
9577,YearsOfExperince,29.03
9078,Gender,25.99
16817,CurrentCompanyType,0.06
23649,DegreeBranch,17.48
16144,Gender,0.23
9951,DegreeBranch,22.88
11628,Gender,10.11
20931,DegreeBranch,20.18
11068,DegreeBranch,17.67
16914,NA,0.05
4217,DegreeBranch,21.6
3170,Gender,15.14
11239,Gender,18.25
18845,DegreeBranch,18.69
19321,HighestDegree,33.16
15538,DegreeBranch,21.79
17957,DegreeBranch,17.25
11040,Gender,23.83
3539,Gender,26.5
22970,NA,0.05
22936,DegreeBranch,20.24
15917,NA,0.06
21918,YearsOfExperince,28.53
5069,Gender,15.86
6282,NA,0.06
6719,EmpScore,28.54
15742,DegreeBranch,15.11
3144,Gender,9.79
9462,Gender,15.67
20810,YearsOfExperince,24.01
5150,NA,0.05
15178,NA,0.04
15249,Gender,0.06
24000,Gender,19.54
6918,DegreeBranch,17.75
9038,NA,0.05
3985,YearsOfExperince,27.67
9776,Gender,8.56
11223,NA,0.05
21091,MartialStatus,50.37
11120,NA,0.05
3578,DegreeBranch,20.34
13296,NA,0.05
7800,DegreeBranch,18.47
4289,NA,0.05
16108,NA,0.05
10227,DegreeBranch,17.44
13282,Gender,22.55
9589,NA,0.05
15996,Gender,19.51
6686,DegreeBranch,19.77
12175,DegreeBranch,16.24
13563,NA,0.05
24106,CurrentCompanyType,3.43
21498,DegreeBranch,15.38
16027,DegreeBranch,0.7
12977,Gender,19.8
5886,DegreeBranch,23.1
11487,NA,0.05
10591,DegreeBranch,20.12
4421,Gender,19.73
16292,DegreeBranch,18.83
16923,DegreeBranch,16.81
9665,NA,0.05
8285,NA,0.05
18177,EmpScore,32.95
20774,DegreeBranch,21.07
17187,EmpScore,35.46
16583,Gender,0.05
3147,NA,0.06
3430,NA,0.06
9165,MartialStatus,50.92
10270,DegreeBranch,16.89
24279,DegreeBranch,17.95
12081,NA,0.05
23979,Gender,11.43
16966,Gender,16.07
10164,DegreeBranch,16.36
22117,EmpScore,32.2
9111,NA,0.05
5419,Gender,0.05
7876,HighestDegree,43.28
23750,NA,0.05
6287,DegreeBranch,22.34
22136,DegreeBranch,13.51
10430,HighestDegree,45.17
17871,NA,0.06
5439,DegreeBranch,23.24
18011,NA,0.05
7723,Gender,0.05
2490,YearsOfExperince,17.74
12098,NA,0.05
18608,Gender,7.6
20423,NA,0.05
16703,CurrentCompanyType,4.89
3588,DegreeBranch,18.39
23917,NA,0.04
17419,NA,0.05
19629,Gender,6.31
14778,YearsOfExperince,10.52
23381,DegreeBranch,20.13
6058,DegreeBranch,24.27
2724,Gender,16.67
9632,Gender,22.0
18599,DegreeBranch,18.07
13169,NA,0.04
22285,DegreeBranch,0.07
5276,EmpScore,33.59
11555,NA,0.05
4924,NA,0.06
14006,DegreeBranch,18.2
20113,NA,0.05
17523,YearsOfExperince,26.89
6842,YearsOfExperince,8.82
21241,YearsOfExperince,24.91
8559,YearsOfExperince,22.21
3265,NA,0.05
17640,Gender,13.91
21354,HighestDegree,35.58
14310,HighestDegree,33.74
18865,NA,0.05
19382,MartialStatus,43.15
14327,Gender,21.34
19480,NA,0.05
13038,Gender,9.71
9727,HighestDegree,33.32
12322,NA,0.04
22608,DegreeBranch,22.35
13170,Gender,0.05
12271,Gender,15.27
23620,Ethinicity,159.72
16442,NA,0.05
7824,YearsOfExperince,29.07
21374,YearsOfExperince,26.03
10169,DegreeBranch,18.02
2801,NA,0.06
2364,DegreeBranch,17.2
3702,HighestDegree,40.48
17941,EmpScore,32.16
23300,NA,0.05
19852,NA,0.05
13765,NA,0.07
15388,NA,0.05
16432,NA,0.05
11375,DegreeBranch,16.12
19329,LatestDegreeCGPA,0.05
18288,EmpScore,35.73
21801,EmpScore,33.93
19475,NA,0.04
11250,Gender,26.75
20551,DegreeBranch,23.13
21559,DegreeBranch,26.48
12275,DegreeBranch,18.55
22469,NA,0.04
3668,EmpScore,33.56
11433,DegreeBranch,17.17
8061,YearsOfExperince,18.9
7297,CurrentCompanyType,0.06
10673,NA,0.05
7006,NA,0.05
7938,NA,0.06
13442,MartialStatus,49.5
20070,DegreeBranch,23.2
12054,DegreeBranch,22.94
23290,DegreeBranch,22.77
23569,DegreeBranch,24.27
12760,NA,0.04
10596,DegreeBranch,24.79
11568,LatestDegreeCGPA,0.04
19846,YearsOfExperince,21.57
11852,HighestDegree,36.88
14410,NA,0.07
14522,NA,0.05
23222,DegreeBranch,0.88
10386,Gender,19.33
24172,Gender,3.23
4019,NA,0.04
8494,NA,0.05
19619,NA,0.05
15135,YearsOfExperince,28.52
5607,Gender,12.54
7504,LatestDegreeCGPA,0.05
9124,NA,0.06
9339,DegreeBranch,23.02
4882,CurrentCompanyType,7.48
12590,DegreeBranch,17.39
16237,CurrentCompanyType,6.49
4522,YearsOfExperince,33.19
8982,Gender,25.37
24253,MartialStatus,48.12
19230,YearsOfExperince,22.37
13000,Gender,25.0
23928,DegreeBranch,18.32
16627,NA,0.05
20665,Gender,2.95
21301,YearsOfExperince,20.21
19440,NA,0.05
14095,Gender,3.28
12835,YearsOfExperince,22.85
7606,YearsOfExperince,18.07
6575,MartialStatus,48.32
11275,HighestDegree,48.25
11124,YearsOfExperince,21.26
11877,Gender,0.05
14795,HighestDegree,26.92
13342,DegreeBranch,19.28
10125,NA,0.06
5991,NA,0.04
21558,YearsOfExperince,31.31
13234,DegreeBranch,20.44
4436,Gender,22.27
8373,NA,0.06
4734,Gender,23.51
5039,Gender,22.48
19087,EmpScore,32.36
13535,DegreeBranch,17.28
2621,Ethinicity,164.71
18544,Gender,30.41
6509,NA,0.05
22699,DegreeBranch,15.81
10903,YearsOfExperince,32.88
4362,EmpScore,34.79
6925,EmpScore,29.09
22573,DegreeBranch,19.41
22667,Gender,0.05
12563,DegreeBranch,20.95
21608,NA,0.06
9086,DegreeBranch,20.33
8034,NA,0.05
23550,DegreeBranch,18.57
14803,DegreeBranch,25.67
11092,NA,0.05
19988,NA,0.05
22401,NA,0.05
2680,Gender,8.38
23798,Gender,14.08
13756,Gender,0.06
15257,NA,0.05
8680,DegreeBranch,24.3
5843,EmpScore,36.83
21020,Gender,10.94
6888,DegreeBranch,18.02
8467,Gender,9.36
13127,Gender,5.08
21561,EmpScore,35.78
5945,DegreeBranch,17.85
14444,NA,0.05
20184,DegreeBranch,19.16
10722,Gender,17.93
21378,YearsOfExperince,22.87
5778,Gender,26.99
14330,Gender,12.34
17476,NA,0.05
23748,DegreeBranch,19.95
5189,HighestDegree,46.9
20815,NA,0.04
22798,Gender,24.94
16173,NA,0.05
22986,NA,0.05
7799,Gender,5.64
17857,DegreeBranch,16.41
10095,MartialStatus,49.02
10090,EmpScore,31.29
18915,CurrentCompanyType,2.85
14352,Gender,13.47
3518,NA,0.05
21893,Gender,15.86
8897,HighestDegree,34.89
9892,Gender,13.16
4255,DegreeBranch,1.72
9205,YearsOfExperince,17.68
10889,DegreeBranch,1.59
3297,DegreeBranch,16.12
14746,NA,0.05
9206,NA,0.05
20348,DegreeBranch,19.05
13996,CurrentCompanyType,0.06
8145,DegreeBranch,13.7
19409,EmpScore,31.22
15988,Gender,19.03
17364,YearsOfExperince,28.9
8279,YearsOfExperince,30.01
15462,NA,0.05
7744,DegreeBranch,8.73
15269,HighestDegree,41.08
20753,YearsOfExperince,26.46
16251,Gender,23.9
5180,Gender,8.82
20977,DegreeBranch,20.24
24238,NA,0.07
3354,NA,0.05
12687,NA,0.05
16614,Gender,0.05
16082,YearsOfExperince,21.74
21612,DegreeBranch,18.34
9517,HighestDegree,46.02
7217,Gender,15.43
16723,HighestDegree,48.59
22017,YearsOfExperince,20.73
3689,DegreeBranch,15.82
10355,Gender,12.1
18640,EmpScore,33.18
6337,Gender,13.45
15121,NA,0.06
9613,MartialStatus,50.0
9597,EmpScore,37.12
17236,NA,0.05
9690,CurrentCompanyType,1.86
3859,HighestDegree,36.94
12312,Gender,0.05
20976,Gender,16.48
20547,DegreeBranch,2.43
17281,DegreeBranch,21.24
18130,NA,0.05
10038,NA,0.05
11000,Gender,16.88
5905,YearsOfExperince,23.7
12104,NA,0.05
20310,Gender,4.85
6051,YearsOfExperince,20.25
18084,YearsOfExperince,7.54
11031,YearsOfExperince,29.4
21712,DegreeBranch,18.1
5749,Gender,23.56
23069,YearsOfExperince,15.4
4845,CurrentCompanyType,0.76
12747,EmpScore,29.96
7910,NA,0.06
5181,NA,0.05
19450,DegreeBranch,21.15
14281,EmpScore,32.57
4163,Gender,1.74
23173,DegreeBranch,21.24
15984,DegreeBranch,17.51
15835,NA,0.05
18715,CurrentCompanyType,7.31
19869,EmpScore,30.4
11454,CurrentCompanyType,0.36
12442,Gender,14.18
4319,NA,0.04
7569,HighestDegree,32.07
12992,Gender,8.37
16590,DegreeBranch,15.78
2873,DegreeBranch,19.89
12539,EmpScore,31.91
19233,NA,0.05
5566,Gender,0.05
20393,NA,0.05
20673,MartialStatus,47.27
23889,EmpScore,34.62
15333,Gender,12.67
13798,NA,0.05
23345,YearsOfExperince,28.34
2094,DegreeBranch,16.65
8658,DegreeBranch,18.81
12675,DegreeBranch,0.8
12383,YearsOfExperince,24.86
10776,CurrentCompanyType,13.32
19347,NA,0.05
20064,NA,0.06
11504,DegreeBranch,16.0
8485,CurrentCompanyType,1.75
23017,NA,0.05
3854,YearsOfExperince,26.83
3300,NA,0.05
14706,NA,0.05
5436,Gender,1.74
18056,Gender,13.95
15355,MartialStatus,47.51
10665,NA,0.05
11491,EmpScore,32.24
24274,Gender,0.52
23543,EmpScore,35.57
24025,DegreeBranch,12.51
15712,YearsOfExperince,23.36
9994,DegreeBranch,16.98
18022,NA,0.05
2242,Ethinicity,164.2
11335,EmpScore,29.24
2647,YearsOfExperince,27.54
8834,NA,0.05
13603,Gender,27.34
17639,Gender,14.82
23054,Gender,17.05
6109,YearsOfExperince,24.32
23208,Gender,0.51
13412,Gender,8.86
4997,NA,0.05
19082,EmpScore,31.34
16057,DegreeBranch,18.27
13972,HighestDegree,38.22
23972,DegreeBranch,16.88
10005,NA,0.05
9388,MartialStatus,48.3
6043,HighestDegree,38.73
21796,NA,0.05
7411,EmpScore,36.6
20010,NA,0.05
20664,MartialStatus,47.32
20033,DegreeBranch,23.07
9627,DegreeBranch,22.96
17307,DegreeBranch,16.92
24146,CurrentCompanyType,1.51
5045,Gender,0.06
17483,DegreeBranch,20.86
22411,DegreeBranch,21.62
18349,Gender,13.67
11871,NA,0.06
13325,Gender,15.69
5785,YearsOfExperince,30.7
15832,DegreeBranch,26.01
16728,MartialStatus,46.16
21960,Gender,0.05
13589,NA,0.06
16299,Gender,5.94
20778,YearsOfExperince,26.52
18733,NA,0.04
7167,Gender,14.15
5531,YearsOfExperince,33.87
15689,DegreeBranch,22.23
15983,HighestDegree,19.35
9007,HighestDegree,17.52
17268,NA,0.05
17732,DegreeBranch,18.11
13360,Gender,25.39
3025,Gender,14.72
23698,NA,0.05
4343,NA,0.05
18472,EmpScore,34.13
14051,NA,0.04
5575,Gender,0.05
10441,Gender,11.69
20910,Gender,3.83
7481,Gender,20.82
7962,DegreeBranch,21.68
9178,Gender,1.3
22441,DegreeBranch,17.17
13550,NA,0.07
22463,NA,0.05
18736,NA,0.05
19797,NA,0.05
14102,NA,0.05
15137,DegreeBranch,23.21
14931,EmpScore,32.87
13043,EmpScore,31.18
24153,HighestDegree,44.55
17839,NA,0.06
23008,HighestDegree,40.62
21099,NA,0.05
3212,DegreeBranch,5.29
13565,YearsOfExperince,19.29
15678,NA,0.05
16761,DegreeBranch,22.27
13861,YearsOfExperince,19.86
17675,YearsOfExperince,25.62
13448,Gender,1.67
14146,Gender,0.05
16496,DegreeBranch,13.98
9807,NA,0.05
10266,YearsOfExperince,22.93
4366,Gender,25.33
12320,CurrentCompanyType,0.06
10870,NA,0.05
19770,DegreeBranch,19.68
4622,NA,0.06
23170,DegreeBranch,19.13
23655,YearsOfExperince,37.72
18742,CurrentCompanyType,0.05
6683,NA,0.05
13371,Gender,13.04
21400,DegreeBranch,22.9
8871,Gender,10.69
24030,NA,0.06
20446,Gender,11.85
9725,DegreeBranch,25.77
6928,NA,0.05
18034,Gender,15.4
23491,DegreeBranch,21.07
9194,Gender,5.29
6631,DegreeBranch,5.99
18165,MartialStatus,45.2
17310,NA,0.05
11237,NA,0.05
4172,HighestDegree,46.72
4584,NA,0.05
22001,NA,0.05
16326,Gender,0.05
19762,DegreeBranch,22.1
22492,DegreeBranch,21.47
23046,DegreeBranch,22.58
13749,Gender,20.37
21493,Gender,0.05
17063,NA,0.05
17392,NA,0.05
7276,NA,0.06
21643,Gender,21.77
17525,Gender,0.05
23770,Gender,11.3
21349,YearsOfExperince,16.21
5432,CurrentCompanyType,6.57
11688,Gender,12.95
19968,EmpScore,38.17
4497,Gender,23.79
17537,Gender,12.04
19316,DegreeBranch,15.34
11478,DegreeBranch,0.05
6328,YearsOfExperince,31.67
11866,DegreeBranch,18.79
7077,NA,0.05
19317,YearsOfExperince,37.61
19933,NA,0.05
5360,NA,0.05
19069,DegreeBranch,18.85
3759,NA,0.06
13658,NA,0.05
24104,Gender,6.0
21910,NA,0.06
5256,EmpScore,33.17
2992,NA,0.06
21375,NA,0.05
2070,EmpScore,32.08
19996,NA,0.04
4457,Gender,16.77
13797,CurrentCompanyType,0.25
22648,NA,0.05
22835,Gender,0.06
16842,YearsOfExperince,22.9
5385,YearsOfExperince,19.68
22536,Gender,15.36
19198,MartialStatus,50.49
20669,Gender,20.79
23095,Gender,9.76
14413,Gender,5.66
10254,Gender,15.28
3795,NA,0.05
21860,YearsOfExperince,21.41
2012,NA,0.05
3204,DegreeBranch,4.38
14509,DegreeBranch,19.15
7774,Gender,16.76
13850,YearsOfExperince,5.38
23893,HighestDegree,38.65
18593,DegreeBranch,17.29
12550,Gender,3.06
2295,YearsOfExperince,11.94
17971,YearsOfExperince,27.69
20645,NA,0.05
17375,YearsOfExperince,4.78
3045,NA,0.06
20059,Gender,21.84
23908,NA,0.06
7782,MartialStatus,48.83
20141,Gender,0.45
21448,DegreeBranch,16.41
13519,CurrentCompanyType,1.06
2956,DegreeBranch,0.05
13702,NA,0.05
21463,HighestDegree,33.36
6592,DegreeBranch,12.65
4446,NA,0.04
11635,NA,0.05
16694,YearsOfExperince,6.63
5729,YearsOfExperince,20.91
3586,DegreeBranch,17.96
2080,YearsOfExperince,22.38
4681,MartialStatus,57.34
2975,EmpScore,28.93
23400,NA,0.05
16268,NA,0.06
14239,EmpScore,33.5
14229,Gender,16.49
18981,NA,0.05
21878,Gender,5.99
19928,NA,0.05
3722,DegreeBranch,20.64
2552,Gender,11.41
5278,DegreeBranch,15.52
3172,DegreeBranch,14.94
4898,NA,0.05
6615,YearsOfExperince,32.87
17551,DegreeBranch,20.69
11694,DegreeBranch,21.18
8799,DegreeBranch,20.66
22738,EmpScore,34.73
16913,Gender,10.42
11581,NA,0.05
13004,CurrentCompanyType,0.11
20887,Gender,25.61
21487,Gender,14.8
22942,NA,0.05
11323,Gender,4.23
4711,Gender,3.46
15876,NA,0.04
8921,NA,0.06
7595,NA,0.05
22767,CurrentCompanyType,0.06
6578,Gender,8.55
17810,DegreeBranch,21.89
4001,Gender,22.09
16887,NA,0.05
14168,NA,0.05
20796,NA,0.07
22362,DegreeBranch,21.55
19469,NA,0.05
17229,Gender,13.02
18791,MartialStatus,51.28
16615,DegreeBranch,20.41
3832,DegreeBranch,18.83
22305,Gender,20.74
7732,YearsOfExperince,27.24
9000,DegreeBranch,27.4
3207,NA,0.06
6812,LatestDegreeCGPA,0.05
3624,Gender,26.58
5994,EmpScore,32.14
12432,DegreeBranch,26.04
8549,YearsOfExperince,32.75
20390,NA,0.05
3662,NA,0.05
14313,CurrentCompanyType,0.05
6289,Gender,11.51
3728,Gender,8.75
9868,NA,0.05
8913,DegreeBranch,24.4
10217,DegreeBranch,16.69
18958,DegreeBranch,7.03
14488,Gender,13.24
17295,Ethinicity,160.12
6814,Gender,0.05
21950,DegreeBranch,18.79
19459,DegreeBranch,18.92
15611,DegreeBranch,13.98
13438,Gender,12.97
9233,NA,0.04
21254,NA,0.05
13977,HighestDegree,36.23
14763,Gender,24.31
20265,NA,0.05
13123,Gender,18.69
12097,HighestDegree,43.35
22923,Gender,0.04
19368,EmpScore,34.16
21795,DegreeBranch,23.75
20160,NA,0.05
16523,CurrentCompanyType,0.06
4659,MartialStatus,49.2
4879,NA,0.05
11630,NA,0.05
21457,Gender,14.77
23080,Gender,16.26
15003,NA,0.04
2392,EmpScore,30.79
11974,YearsOfExperince,19.81
3143,Gender,14.98
8380,Gender,23.16
21026,NA,0.05
19843,Gender,0.05
16137,Gender,17.36
15369,NA,0.05
7458,DegreeBranch,18.45
21906,NA,0.05
23563,Gender,0.04
22101,MartialStatus,45.99
10486,Gender,17.9
19029,NA,0.04
2045,DegreeBranch,1.69
6003,HighestDegree,43.76
9115,NA,0.05
10246,DegreeBranch,18.67
5307,Gender,26.92
18708,NA,0.05
4560,YearsOfExperince,25.63
19704,NA,0.05
24173,EmpScore,35.24
23687,Gender,20.59
21637,DegreeBranch,17.42
2963,NA,0.05
13385,Gender,14.36
18871,YearsOfExperince,28.08
5832,NA,0.04
5089,NA,0.06
22886,DegreeBranch,18.09
2465,HighestDegree,36.51
12024,DegreeBranch,2.74
18975,NA,0.05
15328,DegreeBranch,17.25
9595,DegreeBranch,19.25
14474,NA,0.05
8657,Gender,14.49
8861,DegreeBranch,12.03
16203,NA,0.05
20086,DegreeBranch,20.8
14863,CurrentCompanyType,0.05
12891,HighestDegree,39.02
7203,DegreeBranch,15.54
23191,EmpScore,37.09
2549,YearsOfExperince,19.37
12877,DegreeBranch,18.75
18631,NA,0.06
14615,HighestDegree,45.33
15771,DegreeBranch,17.57
15811,NA,0.05
23743,NA,0.06
8536,EmpScore,29.44
17819,NA,0.05
17855,DegreeBranch,23.02
9199,Gender,1.91
4405,Gender,0.73
12004,Gender,18.68
12258,Gender,4.45
2218,YearsOfExperince,24.76
9267,NA,0.05
8775,EmpScore,31.9
11070,CurrentCompanyType,0.66
16094,DegreeBranch,3.61
7343,NA,0.05
11178,EmpScore,34.9
15299,Gender,20.57
7537,YearsOfExperince,36.46
20769,DegreeBranch,15.72
20772,Gender,19.96
20190,NA,0.05
2272,CurrentCompanyType,0.31
4408,CurrentCompanyType,0.05
15639,Gender,13.33
16209,YearsOfExperince,28.25
14031,Gender,12.37
5577,DegreeBranch,21.8
15410,NA,0.05
24056,DegreeBranch,19.74
5817,NA,0.05
15128,CurrentCompanyType,2.52
16098,DegreeBranch,17.24
13480,YearsOfExperince,24.95
23077,YearsOfExperince,33.34
14641,Gender,20.18
17684,NA,0.05
7311,NA,0.06
22098,NA,0.05
18854,DegreeBranch,24.54
13775,EmpScore,34.33
7752,NA,0.05
8022,NA,0.05
7890,NA,0.05
9505,NA,0.05
16071,NA,0.05
18477,DegreeBranch,13.11
4085,NA,0.05
24244,DegreeBranch,21.23
11984,NA,0.05
15949,Gender,24.47
14532,NA,0.06
18031,CurrentCompanyType,0.05
15590,Gender,22.75
20525,MartialStatus,46.12
6415,MartialStatus,53.54
8881,NA,0.06
9514,HighestDegree,43.14
10130,EmpScore,29.08
14360,NA,0.05
16373,CurrentCompanyType,0.05
20757,NA,0.05
6260,DegreeBranch,20.56
11063,HighestDegree,47.46
24338,Gender,17.19
13882,YearsOfExperince,20.72
8677,DegreeBranch,18.4
15927,Gender,17.95
7647,NA,0.05
21967,CurrentCompanyType,0.06
5323,Gender,21.61
9969,DegreeBranch,19.7
6611,EmpScore,36.61
4663,Gender,5.49
24296,NA,0.05
13273,DegreeBranch,18.55
10484,DegreeBranch,11.55
10106,HighestDegree,32.96
15302,YearsOfExperince,32.78
5413,NA,0.05
13241,DegreeBranch,15.6
3277,NA,0.06
19537,NA,0.05
12269,YearsOfExperince,25.32
15093,DegreeBranch,19.21
4513,Gender,0.06
13897,HighestDegree,37.11
9985,DegreeBranch,8.83
4935,CurrentCompanyType,7.38
11609,Gender,10.9
6034,NA,0.05
2266,Gender,12.14
18393,DegreeBranch,17.42
20566,MartialStatus,47.94
16493,DegreeBranch,19.38
12146,DegreeBranch,19.84
19733,CurrentCompanyType,0.05
17945,NA,0.05
14003,DegreeBranch,20.25
11502,Gender,26.24
2600,DegreeBranch,20.68
2171,DegreeBranch,22.7
21673,NA,0.05
21525,DegreeBranch,0.43
4716,DegreeBranch,17.08
2519,Gender,14.64
6480,DegreeBranch,19.18
14056,DegreeBranch,19.39
4332,YearsOfExperince,15.57
11492,NA,0.04
17754,YearsOfExperince,26.39
3973,EmpScore,32.47
20933,NA,0.06
18796,Gender,21.5
3531,NA,0.06
21834,YearsOfExperince,18.53
15564,Gender,22.09
22972,DegreeBranch,20.23
10432,NA,0.05
19585,YearsOfExperince,30.8
23878,NA,0.05
12112,YearsOfExperince,26.86
4393,NA,0.04
15075,YearsOfExperince,23.21
16061,Gender,15.78
13260,DegreeBranch,20.03
18855,NA,0.06
21390,Gender,0.06
10170,HighestDegree,42.31
21424,HighestDegree,47.35
17083,DegreeBranch,12.74
18371,YearsOfExperince,14.68
21599,EmpScore,34.22
15287,NA,0.05
24160,DegreeBranch,22.59
13415,Gender,17.36
23342,NA,0.05
5267,HighestDegree,34.75
22764,YearsOfExperince,28.26
19993,CurrentCompanyType,0.06
20258,CurrentCompanyType,0.06
14657,NA,0.06
11693,NA,0.05
14844,DegreeBranch,17.84
8417,NA,0.06
20776,DegreeBranch,25.6
7664,NA,0.05
14432,DegreeBranch,19.45
10933,DegreeBranch,18.49
7801,DegreeBranch,1.07
11095,DegreeBranch,23.06
4320,EmpScore,39.94
6392,CurrentCompanyType,1.7
14331,YearsOfExperince,18.36
10635,Gender,6.49
5326,DegreeBranch,17.23
22631,DegreeBranch,18.31
5797,NA,0.05
15205,EmpScore,33.71
5828,Gender,14.0
19940,Gender,0.05
19752,YearsOfExperince,28.38
9174,NA,0.05
13714,NA,0.05
19560,EmpScore,29.37
18323,Gender,12.32
6134,NA,0.05
17853,DegreeBranch,15.26
17432,NA,0.05
16340,DegreeBranch,21.17
12314,NA,0.06
9033,NA,0.05
18330,Gender,19.9
20250,Gender,2.29
18783,NA,0.06
7944,NA,0.05
13741,DegreeBranch,16.05
5291,YearsOfExperince,21.86
21749,DegreeBranch,22.12
7920,CurrentCompanyType,1.41
16565,Gender,0.05
21744,DegreeBranch,20.76
20631,NA,0.05
8980,NA,0.06
11096,EmpScore,27.23
13432,NA,0.04
9066,YearsOfExperince,20.65
8845,Gender,9.77
9768,HighestDegree,36.47
20019,NA,0.04
22431,YearsOfExperince,30.59
11235,Gender,22.62
9225,HighestDegree,44.15
15445,YearsOfExperince,27.67
2994,DegreeBranch,15.91
6053,NA,0.05
8836,YearsOfExperince,28.02
17315,Gender,23.47
12421,NA,0.05
2230,NA,0.04
4691,Gender,7.55
22106,DegreeBranch,23.78
13609,NA,0.06
17578,Gender,12.5
11542,NA,0.05
5896,Gender,11.34
4449,Gender,18.96
8446,Gender,21.67
12640,HighestDegree,32.83
19564,MartialStatus,52.92
